Source ID,Source Name,Latitude (N),"Longitude (W, 360)",JIRAM Detections by Orbit,Max Spectral Radiance (GW/µm),Max Unsaturated Spectral Radiance (GW/µm),Average Unsaturated Spectral Radiance (GW/µm),Min Unsaturated Spectral Radiance (GW/µm),Earlier Detections,Notes
JRM017,,67.7,31.5,"11, 16, 17, 18, 24, 25i, 26, 27i, 41, 43",3.380378276,3.380378276,0.3271135,0.197612482,,
JRM019,Kanehekili,-18.1,33.1,"5, 9, 10, 11, 17, 18, 20, 26, 27i, 32o",3.788374908,2.153457204,1.080338373,0.289454012,"NIMS, LEISA, Cantrall2018",
JRM020,,8.3,34.2,20,0.312796875,0.312796875,0.312796875,0.312796875,,
JRM021,P245,31.9,34.7,"11, 17, 18, 20, 24, 25i, 26, 27i, 41, 43",4.123269307,4.123269307,1.24573276,0.046758672,,
JRM022,PFd1731,-27.7,38.2,"11, 17, 18, 20, 26, 27i, 32o, 35",5.431135377,3.79231949,0.799087917,0.155520115,"NIMS, deKleer2019",
JRM023,Janus Patera,-4.6,38.9,"5, 9, 10, 11, 17, 18, 20, 25o, 26, 27i, 32o, 35, 37o, 41",29.12480813,29.12480813,6.587935811,2.064829124,"NIMS, LEISA, Cantrall2018",
JRM024,PFu1410,57,39.8,"11, 17, 18, 25i, 26, 27i, 41, 43",0.393605608,0.393605608,0.27921811,0.170577013,,
JRM025,,16.6,42.1,"5, 17, 20, 27i, 41",2.868276546,2.868276546,0.447050727,0.119564004,,
JRM026,,6.5,43.3,20,0.391398285,0.391398285,0.391398285,0.391398285,,
JRM027,,41.3,43.5,"11, 17",2.146503138,2.146503138,2.035682659,1.92486218,,
JRM028,,-30.5,44.5,5,0.375927329,0.375927329,0.375927329,0.375927329,NIMS?,
JRM029,PFu1239,38.7,45.2,"16, 17, 18, 20, 25i, 26, 27i, 41",0.239966067,0.239966067,0.134727029,0.062419142,,
JRM030,N Lei-Zi Fluctus,22.3,47.3,"11, 16, 17, 18, 20, 26, 27i, 41, 43",6.832010777,0.48962293,0.25671697,0.064986191,NIMS,
JRM031,Gurzil Patera,50.3,48,"17, 18, 20, 24, 25i, 26, 27i, 41, 43",6.780607541,6.386395322,2.511486372,0.412461813,,Name approved by IAU Mar 2023
JRM032,,-50,48.1,37o,8.927392517,8.927392517,8.927392517,8.927392517,,
JRM033,,17.2,48.4,"17, 20, 26, 27i, 41",0.343382556,0.343382556,0.126221469,0.034426476,,
JRM034,PFu374,-24,49.7,"5, 17, 20, 26, 27i, 32o, 35",2.381876983,2.381876983,0.404692661,0.18041525,Cantrall2018,
JRM035,,42.4,51.4,"17, 26, 27i, 41",0.257657222,0.257657222,0.104303717,0.08630776,,
JRM036,,-1.4,52,27i,3.952275262,3.952275262,3.952275262,3.952275262,,
